R			rho			n1			m1			n2			m2			seps			dmax			davg			dnear			ndens			dint			rgperp			rgpar			intaln			intal			icavg			icmax			icstd			heatthr			heatstd			heatmean			heatmode			maxhole			davg2			davg3			minpor			maxpor
4			99.0			10			15			0			0			0			0.075580695275389118			0.023376875275667435			0.075105142689833218			15			0.37184954441749957			4.5052417000106644			5.143695800642635			0.41428571428571431			0.0025892857142857141			0.01856530525925458			0.033902828114249897			0.012132477106213176			0.5125			0.15030907794642859			0.23399715760470144			0.0			3.1899799999999998			0.044207779841501295			0.0093507501102669723			0.5			-1
4			99.0			10			20			0			0			0			0.082911848165842558			0.024818560201543088			0.081045344843694758			17			0.44405044055924719			4.9814041945089702			5.8242801494656025			2.657142857142857			0.012653061224489797			0.10600319038377029			0.35903851335297654			0.11535334937049439			0.496875			0.15382611850446432			0.23367802140895994			3.1830989999999999			2.8148260000000001			0.050940232336832141			0.011168352090694391			-1			-1
4			99.0			20			0			0			0			0			0.018270337854936973			0.004973798539540988			0.018270337854936973			11			0.057728759403689878			3.4903886642001609			4.0416136035730386			0.0			0.0			0.0			0.0			0.0			0.9125			0.038687446763392856			0.13815271620574152			0.0			5.2595280000000004			0.0092140410691205123			0.0014921395618622967			2.0			-1
4			99.0			20			2			0			0			0			0.036971668295169895			0.009685946358014931			0.036971668295169895			14			0.14350009999120497			4.5868010562114963			4.8093864451420361			0.0			0.0			0.0			0.0			0.0			0.8625			0.071548684441964286			0.22150187558593243			0.0			4.7003539999999999			0.017093549996757287			0.0036322298842555983			1.0			-1
4			99.0			20			5			0			0			0			0.056534983905994714			0.014974304377858332			0.056534983905994714			16			0.25266226058338398			5.1782371998287937			5.5419398704949518			0.0			0.0			0.0			0.0			0.0			0.725			0.10625725629464285			0.24120182174042409			0.0			4.2455970000000001			0.024614744456544147			0.0063640793605897906			1.0			-1
4			99.0			20			10			0			0			0			0.07062656756436661			0.019822277307995843			0.07062656756436661			19			0.39406940385965727			6.2607411998481499			6.228156216326056			0.23571428571428571			0.0010714285714285715			0.015747776575816747			0.060338961941432866			0.019533135348307088			0.615625			0.13734221098214286			0.24104051649215624			0.0			3.9433379999999998			0.032100339007793272			0.0099111386539979217			-1			-1
4			99.0			20			15			0			0			0			0.080400995435961992			0.022926945379673418			0.080033449208652102			22			0.52444041835688004			6.8065675036398572			6.6919328732769587			1.1571428571428573			0.0036160714285714286			0.056656697735262052			0.24813132859996284			0.075374403814948907			0.515625			0.14988277017857143			0.23148004689926194			3.1830989999999999			3.2377729999999998			0.041970818853992564			0.013182993593312216			-1			-1
4			99.0			20			20			0			0			0			0.086792256930203454			0.024798921461504822			0.082413277831808004			24			0.61768075808325251			7.5584451680779532			7.1974430274858001			3.8642857142857143			0.0092006802721088434			0.17619432786107853			0.51882005070901327			0.17750824058661124			0.409375			0.16743244723214287			0.23187159414584327			4.7746490000000001			2.815331			0.042965011411248061			0.015499325913440514			-1			10.0
4			149.0			5			0			0			0			0			0.022692696556234532			0.0070779888080967721			0.022692696556234532			4			0.032678346356658242			1.8349975111945482			1.4389234989474384			0.0			0.0			0.0			0.0			0.0			0.875			0.04682282348214286			0.16783939747580895			0.0			4.5936579999999996			0.012702147120030077			0.00088474860101209652			4.0			-1
4			149.0			5			2			0			0			0			0.05218758043692253			0.015959106249703779			0.05218758043692253			5			0.093098949044991428			2.157725029633943			1.8738313289117094			0.0			0.0			0.0			0.0			0.0			0.79375			0.10302442158482143			0.27853043943779693			0.0			4.297955			0.023420379989323413			0.0023938659374555674			1.0			-1
4			149.0			5			5			0			0			0			0.074636672488424566			0.021442484875901394			0.074636672488424566			7			0.16838100747863077			2.5432603668410394			2.4981870886451811			0.0			0.0			0.0			0.0			0.0			0.64375			0.14803543602678571			0.28999446433648279			0.0			3.4177200000000001			0.039458482616151459			0.0042884969751802787			0.5			-1
4			149.0			5			10			0			0			0			0.089046815883754349			0.02440136205355534			0.089046815883754349			10			0.26522815644523118			3.0865632022928176			3.4858651092371922			0.40952380952380951			0.0074458874458874459			0.061581601924108692			0.22299181587051278			0.080664596036043812			0.496875			0.17283234837053574			0.2744088639333187			0.0			2.628139			0.043289605634402234			0.0067103745647277167			-1			-1
4			149.0			5			15			0			0			0			0.0920262863647133			0.024277814931772928			0.0920262863647133			13			0.33659076443975477			3.6109005330590471			4.3677944847209904			3.1333333333333333			0.039166666666666669			0.27129577099502716			0.72559615787564891			0.27328034792533523			0.484375			0.17787699142857144			0.27776840509186179			3.1830989999999999			2.5424579999999999			0.051916758255101739			0.0084972352261205274			-1			-1
4			149.0			5			20			0			0			0			0.094630980684545341			0.024973770682030941			0.094630980684545341			15			0.39656123246040059			4.0501096477834713			5.0903181911156015			4.9428571428571431			0.047074829931972789			0.31147192376654509			0.97936683485288367			0.3547749049780245			0.46875			0.18004405689732145			0.26895309406151668			6.3661989999999999			2.033785			0.048044964649746023			0.0099895082728123762			-1			7.0
4			149.0			10			0			0			0			0			0.026253070086940201			0.0072548344873846898			0.026253070086940201			7			0.055522760522332092			2.5580723441488624			2.3935897681747376			0.0095238095238095247			0.00095238095238095238			0.0025063770565652813			0.0075191311696958434			0.003544552425815378			0.8625			0.053110865535714286			0.16734184060991483			0.0			4.808281			0.013276712371872714			0.001450966897476938			2.5			-1
4			149.0			10			2			0			0			0			0.056272640593205872			0.016846592353092094			0.056272640593205872			8			0.14851636887984279			3.0875194931659538			2.8990795844664565			0.028571428571428571			0.00095238095238095238			0.0090064318406246919			0.015740598767330312			0.0066238962988959338			0.778125			0.10959666890624999			0.27394624761167657			0.0			4.0009969999999999			0.024744973882465226			0.0037904832794457212			1.0			-1
4			149.0			10			5			0			0			0			0.079827322320032298			0.024284987600210559			0.079827322320032298			10			0.26380826438195265			3.6167518322675547			3.4142416025560531			0.11904761904761904			0.001984126984126984			0.027492021963755844			0.062962395069321248			0.02589980826447507			0.625			0.15560240205357143			0.28408928665936606			0.0			3.1403729999999999			0.041719591419205108			0.0066783715900579025			0.5			-1
4			149.0			10			10			0			0			0			0.10310092192601356			0.030663363194361245			0.10310092192601356			13			0.42587662165480256			4.1435167572341438			4.261881675464787			2.2714285714285714			0.02064935064935065			0.19053674833882084			0.63724636663172274			0.24757690946754232			0.365625			0.19819767098214289			0.27511646882146235			9.5492980000000003			1.8005660000000001			0.052210318772753124			0.010732177118026437			-1			9.0
4			149.0			10			15			0			0			0			0.10952420169858749			0.034462353657514572			0.10714850446618419			15			0.54826674160694988			4.6713246187551443			4.9999878671668112			10.157142857142857			0.063482142857142862			0.61971196061379896			2.0658812888739333			0.78437264820249686			0.3			0.21041849870535714			0.26830242730722165			4.7746490000000001			1.71746			0.064819609394992414			0.01378494146300583			-1			5.0
4			149.0			10			20			0			0			0			0.11449219907856512			0.034166575983182811			0.11100869892579139			18			0.64555879830713836			5.13119801323022			5.7898406168487204			18.452380952380953			0.087868480725623588			0.93224721663052923			3.0828437795752959			1.1552114838369307			0.25			0.2125145142857143			0.25963363076711476			9.5492980000000003			1.2409269999999999			0.062879048824858952			0.016229123592011837			-1			3.5
4			149.0			20			0			0			0			0			0.028820286790659549			0.0064723564923149495			0.028820286790659549			13			0.08809707551566387			3.5655763678496872			3.9919720893302855			0.0047619047619047623			0.0002380952380952381			0.0026234331278883857			0.0052468662557767715			0.0026234331278883857			0.84375			0.061104139508928575			0.17023754956185325			0.0			4.0009969999999999			0.014020567535675727			0.0022653247723102318			1.5			-1
